;Lançamentos;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Verificação;Data Lançamento;Tipo Lançamento;Codigo Custo;Banco/ Conta;Numero OP/ NF;Boleto;Fornecedor/ Cliente;Nº Cheque; Valor ;Data Vencimento; Observações; Valor Real ; Saldo ; DRE ; Centro de Custo ;Tipo;Data Real;Antecipação;Pagamento;Ano;Mês;Custo;Mês Lanç.;Ano Lanç.
;Sim;24/11/2025;Despesas Viagem;5.200;Itau 84170 L;;;Refeição;; R$63,00 ;05/01/2026;Cartão de Crédito - Débito Automático; R$63,00 ; R$462.457,87 ;Outras;VIAGENS;Saida;05/01/2026;0;Sim;2026;1;Sim;11;2025
;Sim;27/11/2025;Despesas Viagem;5.200;Itau 84170 L;;;Refeição;; R$17,30 ;05/01/2026;Cartão de Crédito - Débito Automático; R$17,30 ; R$462.457,87 ;Outras;VIAGENS;Saida;05/01/2026;0;Sim;2026;1;Sim;11;2025
;Sim;03/12/2025;Confraternizações/Brindes;2.305;Itau 84170 L;88175;88175/2;Silvestre Alimentos;; R$599,98 ;05/01/2026;; R$599,98 ; R$462.457,87 ;Custo Produto (CMV);CONFRATERNIZAÇÕES/ BRINDES;Saida;05/01/2026;0;Não;2025;12;Não;12;2025
;Sim;03/12/2025;Confraternizações/Brindes;2.305;Itau 84170 L;88177;88177/2;Silvestre Alimentos;; R$3.834,70 ;05/01/2026;; R$3.834,70 ; R$462.457,87 ;Custo Produto (CMV);CONFRATERNIZAÇÕES/ BRINDES;Saida;05/01/2026;0;Não;2025;12;Não;12;2025
;Sim;05/01/2026;Despesas Bancarias Variavel;2.203;Itau 84170 L;;;Tarifa Cobrança;; R$59,29 ;05/01/2026;; R$59,29 ; R$462.457,87 ;Financeiro;DESPESAS BANCARIAS;Saida;05/01/2026;0;Sim;2026;1;Sim;1;2026
;Sim;04/11/2025;Materia-prima;7.300;Itau 84170 L;105464;105464/3;Lahuman;; R$7.132,63 ;05/01/2026;; R$7.132,63 ; R$462.457,87 ;Custo Produto (CMV);LINHAS/ FIOS;Saida;05/01/2026;0;Não;2025;11;Não;11;2025
;Sim;06/01/2026;Terceiros MO;4.204;Itau 84170 L;1315;1315/u;Antonio Marques;; R$6.250,00 ;06/01/2026;IOS02 - 500 peças - OP 11257 Ioshida - R$ 12,50 cd; R$6.250,00 ; R$523.484,06 ;Custo Produto (CMV);;Saida;06/01/2026;0;Não;2026;1;Não;1;2026
;Sim;06/01/2026;Terceiros MO;4.204;Itau 84170 L;1315;1315/u;Antonio Marques;; R$2.760,00 ;06/01/2026;ELF38 - 200 peças - OP 11277 Elfusa - R$ 13,80 cd; R$2.760,00 ; R$523.484,06 ;Custo Produto (CMV);;Saida;06/01/2026;0;Não;2026;1;Não;1;2026
;Sim;06/01/2026;Terceiros MO;4.204;Itau 84170 L;1315;1315/u;Antonio Marques;; R$2.801,40 ;06/01/2026;ELF33 - 203 peças - OP 11274 Elfusa - R$ 13,80 cd; R$2.801,40 ; R$523.484,06 ;Custo Produto (CMV);;Saida;06/01/2026;0;Não;2026;1;Não;1;2026
;Sim;06/01/2026;Terceiros MO;4.204;Itau 84170 L;1315;1315/u;Antonio Marques;; R$5.834,80 ;06/01/2026;ELF3111 - 503 peças - OP 11294 Elfusa - R$ 11,60 cd; R$5.834,80 ; R$523.484,06 ;Custo Produto (CMV);;Saida;06/01/2026;0;Não;2026;1;Não;1;2026
